"model","study","contrast","Q_bar","U_bar","B","T_var","SE_pooled","CI_lo","CI_hi","df_pooled","t_stat","p_value","FMI","MC_error","is_cross","p_holm"
"M1_ChildSES","Europe","Mid - Low",0.0114424294504712,1.42171813018583e-05,3.7998688227525e-07,1.46161675282474e-05,0.00382310966730584,0.00394891648321953,0.0189359424177228,25497.9237731813,2.99296396028699,0.00276546968496379,0.027297595325035,0.000137838108350929,FALSE,NA
"M1_ChildSES","China - USA","Mid - Low",0.233138503809476,0.000510499491811868,1.60122436099269e-07,0.000510667620369773,0.0225979561104489,0.188847323402946,0.277429684216007,175286015.273662,10.3167960265963,5.91655791547644e-25,0.000329232853617174,8.94769344857289e-05,TRUE,1.77496737464293e-24
"M1_ChildSES","China - England","Mid - Low",0.179711939389347,0.000511405242015317,5.21173826417928e-07,0.000511952474533056,0.0226263667992247,0.135365072134048,0.224058806644646,16629113.6545773,7.94258932439411,1.98015886806112e-15,0.00106891273108494,0.000161427046435523,TRUE,1.98015886806112e-15
"M1_ChildSES","China - Europe","Mid - Low",0.213253010935002,0.000453619973334319,3.74593315253784e-07,0.000454013296315336,0.0213075877638773,0.171490904323705,0.255015117546299,25315825.9167332,10.008313155773,1.40135407966124e-23,0.000866324806362699,0.000136856369098004,TRUE,2.80270815932249e-23
"M2_Wealth","China","Mid - Low",0.211722586557991,0.000446585676276423,2.31609326066082e-06,0.000449017574200117,0.0211900347852503,0.17019080393962,0.253254369176361,647723.413060168,9.99161109000936,1.66515689848673e-23,0.00541604173962693,0.000340300841951708,FALSE,NA
"M2_Wealth","USA","Mid - Low",-0.00323534635415253,7.30478792085759e-05,1.47340757418825e-07,7.32025870038657e-05,0.0085558510391349,-0.0200045110193442,0.0135338183110391,4253848.96092136,-0.378144306084093,0.705323415015497,0.00211341977957141,8.58314503602337e-05,FALSE,NA
"M2_Wealth","England","Mid - Low",0.0397616868079775,7.63182041437904e-05,3.66355271276248e-07,7.67028771786304e-05,0.00875801787955645,0.0225962596852561,0.0569271139306989,755428.600598319,4.5400326140909,5.62541899870106e-06,0.00501510567777281,0.000135343132680651,FALSE,NA
"M2_Wealth","Europe","Mid - Low",0.0106675209127146,1.44038709500262e-05,3.74347649510703e-07,1.47969359820124e-05,0.00384667856494566,0.00312783054230575,0.0182072112831234,26925.7848577316,2.77317710138987,0.005555008029085,0.0265639475945601,0.000136811485174071,FALSE,NA
"M2_Wealth","China - USA","Mid - Low",0.214957932912143,0.000519633402290127,2.42007836363421e-06,0.000522174484571943,0.0228511374896731,0.170170458861053,0.259745406963234,802319.667652062,9.40688108017762,5.12353640505388e-21,0.00486634708683438,0.000347856174563153,TRUE,1.53706092151616e-20
"M2_Wealth","China - England","Mid - Low",0.171960899750013,0.000522903109763929,2.06309363190929e-06,0.000525069358077433,0.0229143919421274,0.127049468118757,0.21687233138127,1116273.14003766,7.50449325403519,6.17120482465501e-14,0.00412564222265146,0.000321177025323208,TRUE,6.17120482465501e-14
"M2_Wealth","China - Europe","Mid - Low",0.201055065645276,0.000460989513008554,2.93341283672332e-06,0.000464069596487114,0.0215422746358669,0.158832864729216,0.243277266561337,431315.295572057,9.33304718483762,1.03333731064492e-20,0.00663711542810587,0.000382976032978783,TRUE,2.06667462128985e-20
"M3_Income","China","Mid - Low",0.208191221048368,0.000452857075456381,3.51659397317835e-06,0.000456549499128218,0.0213670189574545,0.166312458931423,0.250069983165312,290473.347181044,9.74357824378372,1.98072435200272e-22,0.00808767434612884,0.000419320520197757,FALSE,NA
"M3_Income","USA","Mid - Low",-0.016538295626611,7.36097049276988e-05,1.18674689993357e-07,7.37343133521918e-05,0.00858686865814261,-0.0333682519985179,0.000291660745295994,6652702.02038376,-1.92599843843289,0.0541046113898856,0.00168996521196085,7.70307373693634e-05,FALSE,NA
"M3_Income","England","Mid - Low",0.027552921807318,7.68270433019472e-05,3.42489739551123e-07,7.71866575284758e-05,0.00878559374934192,0.0103334506651326,0.0447723929495034,875314.941409205,3.13614794781307,0.00171188488835865,0.00465902058780055,0.000130860563110343,FALSE,NA
"M3_Income","Europe","Mid - Low",0.008391404099779,1.4466175039026e-05,4.06498905332646e-07,1.48929988896253e-05,0.0038591448391613,0.00082722342083914,0.0159555847787189,23132.3926934681,2.17442061635673,0.0296836615541063,0.0286593622790511,0.000142565582335402,FALSE,NA
"M3_Income","China - USA","Mid - Low",0.224729516674979,0.000526466604821019,3.07961681093525e-06,0.000529700202472501,0.02301521675919,0.179620413643151,0.269838619706807,509849.405613448,9.76438844901357,1.60804806718994e-22,0.00610458073526956,0.000392403925243826,TRUE,4.82414420156982e-22
"M3_Income","China - England","Mid - Low",0.18063829924105,0.000529683723648791,4.29226205078939e-06,0.00053419059880212,0.0231125636570701,0.135338301473849,0.22593829700825,266928.549711173,7.81558904158138,5.49043047266767e-15,0.00843682978216983,0.0004632635346533,TRUE,5.49043047266767e-15
"M3_Income","China - Europe","Mid - Low",0.199799816948589,0.000467323381992234,3.23804284705284e-06,0.00047072332698164,0.021696159267982,0.157275984859285,0.242323649037892,364201.107013714,9.20899475712471,3.30860512605841e-20,0.00722280965170459,0.000402370652946561,TRUE,6.61721025211682e-20
"M4_Joint","China","Mid - Low",0.203992159869022,0.000454469781629477,3.53876573141649e-06,0.000458185485647465,0.021405267707914,0.162038430316925,0.245945889421119,288904.317298481,9.52999806648539,1.58437368590226e-21,0.00810960655538145,0.000420640329225366,FALSE,NA
"M4_Joint","USA","Mid - Low",-0.0115152263120779,7.41474461799137e-05,1.15968365225994e-07,7.4269212963401e-05,0.00861795874690759,-0.028406117968648,0.00537566534449222,7068277.24774833,-1.33618953748299,0.181487372934319,0.00163953243381344,7.61473457272129e-05,FALSE,NA
"M4_Joint","England","Mid - Low",0.0282750112413118,7.85628682357107e-05,2.97203687139842e-07,7.88749321072075e-05,0.00888115601187185,0.0108682479593625,0.0456817745232611,1213792.95822298,3.18370842754201,0.00145405059756469,0.00395643917731268,0.000121902355830362,FALSE,NA
"M4_Joint","Europe","Mid - Low",0.00841236618694162,1.45454744062122e-05,3.94232051717971e-07,1.49594180605161e-05,0.00386774069199527,0.000831363950320047,0.0159933684235632,24814.215004716,2.17500780348382,0.0296389421132107,0.0276711067656056,0.000140398014893013,FALSE,NA
"M4_Joint","China - USA","Mid - Low",0.2155073861811,0.000528617087519183,3.21610859693753e-06,0.000531994001545967,0.0230649951559927,0.170300710336033,0.260714062026167,471549.25586192,9.34348282857139,9.36022410961006e-21,0.00634765432875397,0.000401005523461805,TRUE,2.80806723288302e-20
"M4_Joint","China - England","Mid - Low",0.17571714862771,0.000533031836442496,3.84867042832257e-06,0.000537072940392234,0.0231748342042016,0.130295144421487,0.221139152833934,335598.568975931,7.58223972950161,3.40506063871188e-14,0.00752431121699672,0.000438672453450326,TRUE,3.40506063871188e-14
"M4_Joint","China - Europe","Mid - Low",0.195579793682081,0.00046901530486325,3.59124229229569e-06,0.000472786109270161,0.0217436452617808,0.152962859379921,0.23819672798424,298686.095356081,8.99480245043618,2.37989418729812e-19,0.00797570895797141,0.000423747701604132,TRUE,4.75978837459625e-19
